Genus,Species,IUV,mutual
Pseudopontia,Pseudopontia_paradoxa,0,0
Leptidea,Leptidea_duponcheli,0,0
Leptidea,Leptidea_gigantea,0,0
Leptidea,Leptidea_sinapis,0,0
Leptidea,Leptidea_amurensis,0,0
Leptidea,Leptidea_morsei,0,0
Pseudopieris,Pseudopieris_nehemia,0,0
Moschoneura,Moschoneura_pinthous,0,0
Lieinix,Lieinix_nemesis,0,0
Dismorphia,Dismorphia_zaela,0,0
Dismorphia,Dismorphia_amphione,0,0
Patia,Patia_orise,0,0
Enantia,Enantia_albania,0,0
Nathalis,Nathalis_iole,0,0
Kricogonia,Kricogonia_lyside,1,2
Eurema,Eurema_floricola,1,1
Eurema,Eurema_xantochlora,0,0
Eurema,Eurema_hapale,0,0
Leucidia,Leucidia_brephos,0,0
Teriocolias,Teriocolias_zelia,0,0
Eurema,Eurema_deva,0,0
Eurema,Eurema_nicippe,0,0
Pyrisitia,Pyrisitia_proterpia,1,2
Pyrisitia,Pyrisitia_leuce,1,1
Eurema,Eurema_lisa,1,1
Eurema,Eurema_brigitta,0,0
Eurema,Eurema_herla,1,2
Eurema,Eurema_smilax,1,1
Eurema,Eurema_puella,0,0
Eurema,Eurema_tilaha,1,2
Eurema,Eurema_alitha,1,1
Gandaca,Gandaca_harina,0,0
Dercas,Dercas_verhuelli,1,1
Dercas,Dercas_lycorias,1,1
Gonepteryx,Gonepteryx_amintha,1,2
Gonepteryx,Gonepteryx_rhamni,1,1
Gonepteryx,Gonepteryx_cleopatra,1,2
Gonepteryx,Gonepteryx_farinosa,1,1
Phoebis,Phoebis_avellaneda,1,1
Phoebis,Phoebis_editha,0,0
Phoebis,Phoebis_marcellina,0,0
Phoebis,Phoebis_sennae,0,0
Phoebis,Phoebis_neocypris,1,2
Rhabdodryas,Rhabdodryas_trite,1,1
Phoebis,Phoebis_godartiana,1,1
Aphrissa,Aphrissa_neleis,1,1
Aphrissa,Aphrissa_boisduvalii,0,0
Anteos,Anteos_clorinde,1,2
Catopsilia,Catopsilia_pyranthe,0,0
Catopsilia,Catopsilia_pomona,0,0
Catopsilia,Catopsilia_scylla,0,0
Zerene,Zerene_cesonia,1,1
Zerene,Zerene_eurydice,1,1
Colias,Colias_lesbia,1,1
Colias,Colias_hyale,0,0
Colias,Colias_australis,0,0
Colias,Colias_christophi,1,2
Colias,Colias_electo,1,2
Colias,Colias_croceus,1,1
Colias,Colias_cocandica,0,0
Colias,Colias_romanovi,1,2
Colias,Colias_montium,0,0
Colias,Colias_fieldii,1,2
Colias,Colias_sieversi,0,0
Colias,Colias_marcopolo,1,2
Colias,Colias_eogene,1,2
Colias,Colias_stoliczkana,1,1
Colias,Colias_staudingeri,1,2
Colias,Colias_sifanica,0,0
Colias,Colias_nebulosa,0,0
Colias,Colias_myrmidone,1,2
Colias,Colias_balcanica,1,2
Colias,Colias_adelaidae,1,2
Colias,Colias_occidentalis,0,0
Colias,Colias_nina,0,0
Colias,Colias_interior,0,0
Colias,Colias_phicomone,0,0
Colias,Colias_regia,1,2
Colias,Colias_ladakensis,0,0
Colias,Colias_alpherakii,0,0
Colias,Colias_hyperborea,1,2
Colias,Colias_tyche,0,0
Colias,Colias_heos,1,2
Colias,Colias_meadii,1,1
Colias,Colias_gigantea,0,0
Colias,Colias_scudderi,0,0
Colias,Colias_chippewa,0,0
Colias,Colias_aurorina,1,2
Colias,Colias_harfordii,1,1
Colias,Colias_eurytheme,1,1
Afrodryas,Afrodryas_leda,1,1
Nepheronia,Nepheronia_thalassina,0,0
Nepheronia,Nepheronia_buquetii,0,0
Nepheronia,Nepheronia_argia,0,0
Pareronia,Pareronia_ceylanica,0,0
Pareronia,Pareronia_valeria,0,0
Pareronia,Pareronia_anais,0,0
Hebomoia,Hebomoia_glaucippe,1,2
Eroessa,Eroessa_chiliensis,1,1
Hesperocharis,Hesperocharis_costaricensis,0,0
Mathania,Mathania_leucothea,0,0
Hesperocharis,Hesperocharis_crocea,0,0
Cunizza,Cunizza_hirlanda,0,0
Anthocharis,Anthocharis_bieti,0,0
Anthocharis,Anthocharis_belia,0,0
Anthocharis,Anthocharis_euphenoides,0,0
Anthocharis,Anthocharis_lanceolata,0,0
Anthocharis,Anthocharis_damone,0,0
Anthocharis,Anthocharis_sara,0,0
Anthocharis,Anthocharis_scolymus,0,0
Euchloe,Euchloe_tomyris,0,0
Euchloe,Euchloe_transcaspica,0,0
Euchloe,Euchloe_charlonia,0,0
Zegris,Zegris_pyrothoe,0,0
Zegris,Zegris_eupheme,0,0
Zegris,Zegris_fausti,1,1
Anthocharis,Anthocharis_cethura,0,0
Anthocharis,Anthocharis_midea,0,0
Euchloe,Euchloe_ausonia,0,0
Euchloe,Euchloe_olympia,0,0
Gideona,Gideona_lucasi,0,0
Pinacopteryx,Pinacopteryx_eriphia,0,0
Teracolus,Teracolus_eris,1,1
Teracolus,Teracolus_subfasciatus,1,2
Teracolus,Teracolus_agoye,1,2
Eronia,Eronia_cleodora,0,0
Ixias,Ixias_pyrene,1,1
Ixias,Ixias_marianne,1,1
Colotis,Colotis_aurora,1,1
Colotis,Colotis_auxo,1,2
Colotis,Colotis_etrida,1,1
Colotis,Colotis_antevippe,1,1
Colotis,Colotis_euippe,1,1
Colotis,Colotis_pallene,1,1
Colotis,Colotis_evagore,1,1
Colotis,Colotis_daira,1,2
Colotis,Colotis_evanthe,1,2
Colotis,Colotis_guenei,1,1
Colotis,Colotis_danae,1,1
Colotis,Colotis_hildebrandti,1,1
Colotis,Colotis_evenina,1,2
Colotis,Colotis_mananhari,0,0
Colotis,Colotis_hetaera,0,0
Colotis,Colotis_regina,1,1
Colotis,Colotis_ione,1,1
Colotis,Colotis_amata,0,0
Colotis,Colotis_fausta,0,0
Colotis,Colotis_zoe,1,1
Colotis,Colotis_celimene,1,1
Colotis,Colotis_chrysonome,0,0
Colotis,Colotis_vesta,1,2
Colotis,Colotis_aurigineus,1,1
Elodina,Elodina_angulipennis,0,0
Aoa,Aoa_affinis,0,0
Appias,Appias_drusilla,0,0
Appias,Appias_lyncida,0,0
Appias,Appias_ada,0,0
Appias,Appias_libythea,0,0
Appias,Appias_olferna,0,0
Appias,Appias_indra,0,0
Appias,Appias_pandione,0,0
Appias,Appias_cardena,0,0
Saletara,Saletara_liberia,0,0
Appias,Appias_melania,0,0
Appias,Appias_nero,0,0
Appias,Appias_paulina,0,0
Pieris,Pieris_mannii,0,0
Sinopieris,Sinopieris_dubernardi,0,0
Pieris,Pieris_davidis,0,0
Pieris,Pieris_krueperi,0,0
Pieris,Pieris_melete,0,0
Pieris,Pieris_ergane,0,0
Pieris,Pieris_marginalis,0,0
Pieris,Pieris_balcana,0,0
Pieris,Pieris_pseudorapae,0,0
Pieris,Pieris_ochsenheimeri,0,0
Pieris,Pieris_bryoniae,0,0
Pieris,Pieris_narina,0,0
Pieris,Pieris_dulcinea,0,0
Pieris,Pieris_extensa,0,0
Pontia,Pontia_beckerii,0,0
Pontia,Pontia_protodice,0,0
Pontia,Pontia_callidice,0,0
Pontia,Pontia_occidentalis,0,0
Pontia,Pontia_helice,0,0
Pontia,Pontia_daplidice,0,0
Pontia,Pontia_glauconome,0,0
Ganyra,Ganyra_phaloe,0,0
Ascia,Ascia_monuste,0,0
Tatochila,Tatochila_autodice,0,0
Theochila,Theochila_maenacte,0,0
Phulia,Phulia_nymphula,0,0
Tatochila,Tatochila_theodice,0,0
Tatochila,Tatochila_mercedis,0,0
Pontia,Pontia_sisymbrii,0,0
Pieriballia,Pieriballia_viardi,0,0
Perrhybris,Perrhybris_pamela,0,0
Pieris,Pieris_brassicoides,0,0
Pieris,Pieris_deota,0,0
Leptophobia,Leptophobia_aripa,0,0
Leptophobia,Leptophobia_olympia,0,0
Leptophobia,Leptophobia_philoma,0,0
Leptophobia,Leptophobia_caesia,0,0
Leptophobia,Leptophobia_helena,0,0
Leptophobia,Leptophobia_eleusis,0,0
Belenois,Belenois_java,0,0
Belenois,Belenois_aurota,0,0
Prioneris,Prioneris_autothisbe,0,0
Prioneris,Prioneris_thestylis,0,0
Prioneris,Prioneris_philonome,0,0
Prioneris,Prioneris_sita,0,0
Cepora,Cepora_nadina,0,0
Cepora,Cepora_perimale,0,0
Cepora,Cepora_nerissa,0,0
Mylothris,Mylothris_trimenia,0,0
Mylothris,Mylothris_croceus,0,0
