Genus,Species,IUV,mutual,Ratio
Afrodryas,Afrodryas_leda,1,1,1
Anteos,Anteos_clorinde,1,2,0.666666666666667
Anteos,Anteos_maerula,0,0,0.666666666666667
Anteos,Anteos_menippe,1,2,0.666666666666667
Aphrissa,Aphrissa_boisduvalii,0,0,0.5
Aphrissa,Aphrissa_fluminensis,0,0,0.5
Aphrissa,Aphrissa_neleis,1,1,0.5
Aphrissa,Aphrissa_orbis,1,1,0.5
Aphrissa,Aphrissa_schausi,0,0,0.5
Aphrissa,Aphrissa_statira,1,2,0.5
Colias,Colias_adelaidae,1,2,0.6
Colias,Colias_alexandra,1,1,0.6
Colias,Colias_alpherakii,0,0,0.6
Colias,Colias_arida,1,1,0.6
Colias,Colias_aurora,1,1,0.6
Colias,Colias_aurorina,1,2,0.6
Colias,Colias_australis,0,0,0.6
Colias,Colias_balcanica,1,2,0.6
Colias,Colias_boothii,1,2,0.6
Colias,Colias_caucasica,1,2,0.6
Colias,Colias_chippewa,0,0,0.6
Colias,Colias_chlorocoma,0,0,0.6
Colias,Colias_christina,1,1,0.6
Colias,Colias_christophi,1,2,0.6
Colias,Colias_chrysotheme,1,2,0.6
Colias,Colias_cocandica,0,0,0.6
Colias,Colias_croceus,1,1,0.6
Colias,Colias_dimera,1,1,0.6
Colias,Colias_diva,1,2,0.6
Colias,Colias_electo,1,2,0.6
Colias,Colias_eogene,1,2,0.6
Colias,Colias_erschoffii,1,2,0.6
Colias,Colias_eurytheme,1,1,0.6
Colias,Colias_euxanthe,1,2,0.6
Colias,Colias_fieldii,1,2,0.6
Colias,Colias_gigantea,0,0,0.6
Colias,Colias_harfordii,1,1,0.6
Colias,Colias_hecla,1,2,0.6
Colias,Colias_heos,1,2,0.6
Colias,Colias_hyale,0,0,0.6
Colias,Colias_hyperborea,1,2,0.6
Colias,Colias_interior,0,0,0.6
Colias,Colias_ladakensis,0,0,0.6
Colias,Colias_lesbia,1,1,0.6
Colias,Colias_marcopolo,1,2,0.6
Colias,Colias_meadii,1,1,0.6
Colias,Colias_montium,0,0,0.6
Colias,Colias_myrmidone,1,2,0.6
Colias,Colias_nastes,0,0,0.6
Colias,Colias_nebulosa,0,0,0.6
Colias,Colias_nina,0,0,0.6
Colias,Colias_occidentalis,0,0,0.6
Colias,Colias_palaeno,0,0,0.6
Colias,Colias_phicomone,0,0,0.6
Colias,Colias_philodice,0,0,0.6
Colias,Colias_rankinensis,1,2,0.6
Colias,Colias_regia,1,2,0.6
Colias,Colias_romanovi,1,2,0.6
Colias,Colias_sagartia,0,0,0.6
Colias,Colias_scudderi,0,0,0.6
Colias,Colias_sieversi,0,0,0.6
Colias,Colias_sifanica,0,0,0.6
Colias,Colias_skinneri,0,0,0.6
Colias,Colias_staudingeri,1,2,0.6
Colias,Colias_stoliczkana,1,1,0.6
Colias,Colias_sulitelma,0,1,0.6
Colias,Colias_thisoa,1,2,0.6
Colias,Colias_tyche,0,0,0.6
Colias,Colias_viluiensis,1,2,0.6
Colias,Colias_wiskotti,1,1,0.6
Colotis,Colotis_amata,0,0,0.785714285714286
Colotis,Colotis_antevippe,1,1,0.785714285714286
Colotis,Colotis_aurigineus,1,1,0.785714285714286
