Species,IUV,mutual,Ratio,matrix,Genus
Afrodryas_leda,1,1,1,overlap,Afrodryas
Anteos_clorinde,1,2,0.333333333333333,overlap,Anteos
Aphrissa_neleis,1,1,0.166666666666667,overlap,Aphrissa
Colias_lesbia,1,1,0.333333333333333,overlap,Colias
Colias_christophi,1,2,0.333333333333333,overlap,Colias
Colias_electo,1,2,0.333333333333333,overlap,Colias
Colias_croceus,1,1,0.333333333333333,overlap,Colias
Colias_romanovi,1,2,0.333333333333333,overlap,Colias
Colias_fieldii,1,2,0.333333333333333,overlap,Colias
Colias_marcopolo,1,2,0.333333333333333,overlap,Colias
Colias_eogene,1,2,0.333333333333333,overlap,Colias
Colias_stoliczkana,1,1,0.333333333333333,overlap,Colias
Colias_staudingeri,1,2,0.333333333333333,overlap,Colias
Colias_myrmidone,1,2,0.333333333333333,overlap,Colias
Colias_balcanica,1,2,0.333333333333333,overlap,Colias
Colias_adelaidae,1,2,0.333333333333333,overlap,Colias
Colias_regia,1,2,0.333333333333333,overlap,Colias
Colias_hyperborea,1,2,0.333333333333333,overlap,Colias
Colias_heos,1,2,0.333333333333333,overlap,Colias
Colias_meadii,1,1,0.333333333333333,overlap,Colias
Colias_aurorina,1,2,0.333333333333333,overlap,Colias
Colias_harfordii,1,1,0.333333333333333,overlap,Colias
Colias_eurytheme,1,1,0.333333333333333,overlap,Colias
Colotis_aurora,1,1,0.678571428571429,overlap,Colotis
Colotis_auxo,1,2,0.678571428571429,overlap,Colotis
Colotis_etrida,1,1,0.678571428571429,overlap,Colotis
Colotis_antevippe,1,1,0.678571428571429,overlap,Colotis
Colotis_euippe,1,1,0.678571428571429,overlap,Colotis
Colotis_pallene,1,1,0.678571428571429,overlap,Colotis
Colotis_evagore,1,1,0.678571428571429,overlap,Colotis
Colotis_daira,1,2,0.678571428571429,overlap,Colotis
Colotis_evanthe,1,2,0.678571428571429,overlap,Colotis
Colotis_guenei,1,1,0.678571428571429,overlap,Colotis
Colotis_danae,1,1,0.678571428571429,overlap,Colotis
Colotis_hildebrandti,1,1,0.678571428571429,overlap,Colotis
Colotis_evenina,1,2,0.678571428571429,overlap,Colotis
Colotis_regina,1,1,0.678571428571429,overlap,Colotis
Colotis_ione,1,1,0.678571428571429,overlap,Colotis
Colotis_zoe,1,1,0.678571428571429,overlap,Colotis
Colotis_celimene,1,1,0.678571428571429,overlap,Colotis
Colotis_vesta,1,2,0.678571428571429,overlap,Colotis
Colotis_aurigineus,1,1,0.678571428571429,overlap,Colotis
Dercas_verhuelli,1,1,1,overlap,Dercas
Dercas_lycorias,1,1,1,overlap,Dercas
Eroessa_chiliensis,1,1,1,overlap,Eroessa
Eurema_floricola,1,1,0.13953488372093,overlap,Eurema
Eurema_lisa,1,1,0.13953488372093,overlap,Eurema
Eurema_herla,1,2,0.13953488372093,overlap,Eurema
Eurema_smilax,1,1,0.13953488372093,overlap,Eurema
Eurema_tilaha,1,2,0.13953488372093,overlap,Eurema
Eurema_alitha,1,1,0.13953488372093,overlap,Eurema
Gonepteryx_amintha,1,2,0.5,overlap,Gonepteryx
Gonepteryx_rhamni,1,1,0.5,overlap,Gonepteryx
Gonepteryx_cleopatra,1,2,0.5,overlap,Gonepteryx
Gonepteryx_farinosa,1,1,0.5,overlap,Gonepteryx
Hebomoia_glaucippe,1,2,1,overlap,Hebomoia
Ixias_pyrene,1,1,0.25,overlap,Ixias
Ixias_marianne,1,1,0.25,overlap,Ixias
Kricogonia_lyside,1,2,0.5,overlap,Kricogonia
Phoebis_avellaneda,1,1,0.272727272727273,overlap,Phoebis
Phoebis_neocypris,1,2,0.272727272727273,overlap,Phoebis
Phoebis_godartiana,1,1,0.272727272727273,overlap,Phoebis
Pyrisitia_proterpia,1,2,0.222222222222222,overlap,Pyrisitia
Pyrisitia_leuce,1,1,0.222222222222222,overlap,Pyrisitia
Rhabdodryas_trite,1,1,1,overlap,Rhabdodryas
Zegris_fausti,1,1,0.333333333333333,overlap,Zegris
Zerene_cesonia,1,1,1,overlap,Zerene
Zerene_eurydice,1,1,1,overlap,Zerene
