subfamily,genus,species,synonym,status
Pierinae,Theochila,Theochila_maenacte,,extant
Pierinae,Archonias,Archonias_brassolis,,extant
Coliadinae,Anteos,Anteos_maerula,,extant
Coliadinae,Anteos,Anteos_menippe,,extant
Coliadinae,Anteos,Anteos_clorinde,,extant
Pierinae,Cunizza,Cunizza_hirlanda,,extant
Pierinae,Ganyra,Ganyra_howarthi,,extant
Pierinae,Ganyra,Ganyra_phaloe,,extant
Pierinae,Ganyra,Ganyra_josephina,,extant
Pierinae,Pareronia,Pareronia_valeria,,extant
Pierinae,Pareronia,Pareronia_jobaea,,extant
Pierinae,Pareronia,Pareronia_avatar,,extant
Pierinae,Pareronia,Pareronia_tritaea,,extant
Pierinae,Pareronia,Pareronia_ceylanica,,extant
Pierinae,Pareronia,Pareronia_argolis,,extant
Pierinae,Pareronia,Pareronia_phocaea,,extant
Pierinae,Pareronia,Pareronia_nishiyamai,,extant
Pierinae,Pareronia,Pareronia_boebera,,extant
Pierinae,Pareronia,Pareronia_anais,,extant
Dismorphiinae,Lieinix,Lieinix_neblina,,extant
Dismorphiinae,Lieinix,Lieinix_christa,,extant
Dismorphiinae,Lieinix,Lieinix_lala,,extant
Dismorphiinae,Lieinix,Lieinix_viridifascia,,extant
Dismorphiinae,Lieinix,Lieinix_nemesis,,extant
Dismorphiinae,Lieinix,Lieinix_cinerascens,,extant
Pierinae,Belenois,Belenois_java,,extant
Pierinae,Belenois,Belenois_margaritacea,,extant
Pierinae,Belenois,Belenois_albomaculatus,,extant
Pierinae,Belenois,Belenois_rubrosignata,,extant
Pierinae,Belenois,Belenois_aurota,,extant
Pierinae,Belenois,Belenois_theora,,extant
Pierinae,Belenois,Belenois_crawshayi,,extant
Pierinae,Belenois,Belenois_victoria,,extant
Pierinae,Belenois,Belenois_gidica,,extant
Pierinae,Belenois,Belenois_ianthe,,extant
Pierinae,Belenois,Belenois_mabella,,extant
Pierinae,Belenois,Belenois_raffrayi,,extant
Pierinae,Belenois,Belenois_anomala,,extant
Pierinae,Belenois,Belenois_sudanensis,,extant
Pierinae,Belenois,Belenois_consanguis,,extant
Pierinae,Belenois,Belenois_thysa,,extant
Pierinae,Belenois,Belenois_diminuta,,extant
Pierinae,Belenois,Belenois_hedyle,,extant
Pierinae,Belenois,Belenois_helcida,,extant
Pierinae,Belenois,Belenois_larima,,extant
Pierinae,Belenois,Belenois_ogygia,,extant
Pierinae,Belenois,Belenois_aldabrensis,,extant
Pierinae,Belenois,Belenois_solilucis,,extant
Pierinae,Belenois,Belenois_antsianaka,,extant
Pierinae,Belenois,Belenois_subeida,,extant
Pierinae,Belenois,Belenois_calypso,,extant
Pierinae,Belenois,Belenois_theuszi,,extant
Pierinae,Belenois,Belenois_creona,,extant
Pierinae,Belenois,Belenois_zochalia,,extant
Pierinae,Belenois,Belenois_gradidieri,,extant
Pierinae,Euchloe,Euchloe_transcaspica,Elphinstonia_transcaspica,extant
Pierinae,Euchloe,Euchloe_penia,,extant
Pierinae,Euchloe,Euchloe_charlonia,,extant
Pierinae,Euchloe,Euchloe_tomyris,Elphinstonia_tomyris,extant
Pierinae,Glennia,Glennia_pylotis,,extant
Pierinae,Pereute,Pereute_callinira,,extant
